pair_id,gold_same_proposition,binary_evaluation_label,derived_relation,candidate_topic_similarity,candidate_threshold_0_10_prediction,evidence_tfidf_cosine,speech_tfidf_cosine,evidence_token_jaccard,oracle_stance_no_gate_relation,no_gate_invalid_relation,no_gate_false_reversal,target_proposition_a,target_proposition_b,comparability_notes
263f772b51bf1354,UNCERTAIN,EXCLUDED_UNCERTAIN,RELATION_UNCERTAIN,0.142105,COMPARABLE,0.000000,0.380763,0.000000,STANCE_MAINTAINED,true,false,O país deve planejar políticas públicas para o envelhecimento da população,Gestores municipais devem tratar a política para a pessoa idosa com mais importância.,"As duas falas parecem concordar, mas a B não indica nenhuma ação específica. Fica incerto se são a mesma proposição"
d4e87de87b4f3431,NO,INCOMPARABLE,INCOMPARABLE,0.172702,COMPARABLE,0.068425,0.143566,0.037313,STANCE_MAINTAINED,true,false,Foi adequada a contratação dessa empresa pelo Ministério da Saúde.,O Ministério verifica quem recebe diárias e passagens,
24c599750bdd544f,YES,COMPARABLE,STANCE_MAINTAINED,0.651838,COMPARABLE,0.000000,0.241818,0.000000,STANCE_MAINTAINED,false,false,O país deve ter uma lei para os mercados digitais sem criar mais burocracia,Precisam ser criadas novas regras para os mercados digitais para garantir a livre concorrência e proteção dos consumidores,
8f79764e69daadf2,UNCERTAIN,EXCLUDED_UNCERTAIN,RELATION_UNCERTAIN,0.142105,COMPARABLE,0.000000,0.158175,0.000000,STANCE_MAINTAINED,true,false,O planejamento de políticas para o envelhecimento deve ser diferenciado entre as regiões do país.,A pauta da pessoa idosa deve ser uma prioridade para os gestores municipais,"As duas falam sobre a importância de olhar para o envelhecimento da população, mas uma cobra prioridade dos gestores municipais e outra defende a preparação do país inteiro. Ficamos em dúvida se âmbitos diferentes contam como a mesma proposição ou não."
af4d70f0c140e9c9,NO,INCOMPARABLE,INCOMPARABLE,0.197176,COMPARABLE,0.000000,0.167901,0.000000,STANCE_MAINTAINED,true,false,O país precisa regular as redes sociais pra frear o discurso de ódio,O orçamento federal deve destinar recursos específicos para prevenção da violência contra crianças e adolescentes.,
d4c07b40fb424a0c,YES,COMPARABLE,STANCE_MAINTAINED,0.566205,COMPARABLE,0.040582,0.237594,0.040000,STANCE_MAINTAINED,false,false,A vacina contra a Covid-19 deve ser obrigatória para crianças de 6 meses a 5 anos,A vacina contra a Covid-19 deve ser obrigatória para crianças (não menciona idade diretamente),
0138e27cd0f53d95,NO,INCOMPARABLE,INCOMPARABLE,0.104432,COMPARABLE,0.116990,0.222420,0.086957,STANCE_MAINTAINED,true,false,O Brasil deve aprovar a Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,Os direitos do Estatuto da Pessoa Idosa devem ser postos em prática,A pede o cumprimento do Estatuto e B pede a aprovação da Convenção Interamericana
2e42e8583aea6939,NO,INCOMPARABLE,INCOMPARABLE,0.279901,COMPARABLE,0.328709,0.399113,0.129032,STANCE_MAINTAINED,true,false,O Brasil deve aumentar o orçamento para o combate à tuberculose,O Amazonas deve ser o estado piloto para reunir as ações contra a tuberculose,"As duas falas querem acabar com a tuberculose, mas uma defende o Amazonas como estado piloto e a outra defende mais dinheiro no orçamento"
3459768d16f576e5,YES,COMPARABLE,STANCE_MAINTAINED,0.547672,COMPARABLE,0.306974,0.352728,0.192308,STANCE_MAINTAINED,false,false,O governo deve acabar com o saque-aniversário do FGTS,O governo deve acabar com o saque-aniversário do FGTS,
2a22c99d1d3a678c,NO,INCOMPARABLE,INCOMPARABLE,0.389679,COMPARABLE,0.052390,0.132533,0.033333,STANCE_REVERSED,true,true,Os pacientes diagnosticados com retinopatia diabética conseguem acompanhamento em tempo hábil pelo SUS,O SUS precisa atualizar a forma como acompanha quem tem edema macular diabético,"As duas falas criticam o atendimento do SUS, mas A trata da fila e B trata da atualização dos protocolos"
