pair_id,side,source_record_id,review_1_event,review_1_date,review_1_actor,review_1_speech,review_1_evidence,review_2_event,review_2_date,review_2_actor,review_2_speech,review_2_evidence,agreement_status,review_2_reviewer,review_2_confidence,review_2_notes
263f772b51bf1354,a,149,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
263f772b51bf1354,b,110,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
d4e87de87b4f3431,a,199,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
d4e87de87b4f3431,b,16,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
24c599750bdd544f,a,195,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
24c599750bdd544f,b,189,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
8f79764e69daadf2,a,149,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
8f79764e69daadf2,b,110,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
af4d70f0c140e9c9,a,57,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
af4d70f0c140e9c9,b,30,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
d4c07b40fb424a0c,a,15,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Span confirma crítica à obrigação; crítica à politização aparece em outra parte do turno."
d4c07b40fb424a0c,b,129,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
0138e27cd0f53d95,a,41,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
0138e27cd0f53d95,b,155,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
2e42e8583aea6939,a,123,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
2e42e8583aea6939,b,114,true,true,true,true,true,true,true,true,true,true,AGREE_VALID,Codex second documentary pass; not an independent human,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS."
